Track Name,Track ID,Artist,Track Popularity,Playlist_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist ID,Artist Followers,Artist genres,Artist popularity
Into the New World,24Gy6lVtCd8nOL2vzZiFyV,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.699,0.908,7,-2.108,1,0.0334,0.0531,0.0,0.116,0.6,108.023,audio_features,24Gy6lVtCd8nOL2vzZiFyV,spotify:track:24Gy6lVtCd8nOL2vzZiFyV,https://api.spotify.com/v1/tracks/24Gy6lVtCd8nOL2vzZiFyV,https://api.spotify.com/v1/audio-analysis/24Gy6lVtCd8nOL2vzZiFyV,267320,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
Gee,0t7kjpVLgOYITrSfFCoBEA,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.756,0.93,1,-1.082,0,0.0274,0.281,0.0,0.11,0.737,99.988,audio_features,0t7kjpVLgOYITrSfFCoBEA,spotify:track:0t7kjpVLgOYITrSfFCoBEA,https://api.spotify.com/v1/tracks/0t7kjpVLgOYITrSfFCoBEA,https://api.spotify.com/v1/audio-analysis/0t7kjpVLgOYITrSfFCoBEA,201160,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
Genie,7m48u7EC4gnCfAhwoLfbCE,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.76,0.843,9,-2.632,1,0.103,0.137,2.19e-06,0.7,0.757,122.988,audio_features,7m48u7EC4gnCfAhwoLfbCE,spotify:track:7m48u7EC4gnCfAhwoLfbCE,https://api.spotify.com/v1/tracks/7m48u7EC4gnCfAhwoLfbCE,https://api.spotify.com/v1/audio-analysis/7m48u7EC4gnCfAhwoLfbCE,230547,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
Oh!,6VOG2ROMCklbn6SSg9mA9H,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.759,0.966,2,-2.207,0,0.0416,0.0218,1.03e-05,0.229,0.44,143.987,audio_features,6VOG2ROMCklbn6SSg9mA9H,spotify:track:6VOG2ROMCklbn6SSg9mA9H,https://api.spotify.com/v1/tracks/6VOG2ROMCklbn6SSg9mA9H,https://api.spotify.com/v1/audio-analysis/6VOG2ROMCklbn6SSg9mA9H,188533,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
The Boys,3CTo0NiDgnl6CHvlUgZXUt,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.871,0.943,1,-0.574,0,0.0864,0.16,0.0,0.225,0.902,114.993,audio_features,3CTo0NiDgnl6CHvlUgZXUt,spotify:track:3CTo0NiDgnl6CHvlUgZXUt,https://api.spotify.com/v1/tracks/3CTo0NiDgnl6CHvlUgZXUt,https://api.spotify.com/v1/audio-analysis/3CTo0NiDgnl6CHvlUgZXUt,226893,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
I GOT A BOY,2WkPfNd237yc0l5KewCDpp,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.502,0.863,4,-1.273,0,0.272,0.0342,0.0,0.538,0.527,97.911,audio_features,2WkPfNd237yc0l5KewCDpp,spotify:track:2WkPfNd237yc0l5KewCDpp,https://api.spotify.com/v1/tracks/2WkPfNd237yc0l5KewCDpp,https://api.spotify.com/v1/audio-analysis/2WkPfNd237yc0l5KewCDpp,271326,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
Mr.Mr.,3JaMGQXJmtbAhvgl0nBPPN,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.701,0.964,4,-2.037,0,0.127,0.114,9.34e-06,0.153,0.484,113.058,audio_features,3JaMGQXJmtbAhvgl0nBPPN,spotify:track:3JaMGQXJmtbAhvgl0nBPPN,https://api.spotify.com/v1/tracks/3JaMGQXJmtbAhvgl0nBPPN,https://api.spotify.com/v1/audio-analysis/3JaMGQXJmtbAhvgl0nBPPN,235434,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
Lion Heart,405SQUJdQut02dxtuQ0CZ3,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.754,0.788,2,-3.175,1,0.0322,0.129,0.00274,0.0775,0.961,124.992,audio_features,405SQUJdQut02dxtuQ0CZ3,spotify:track:405SQUJdQut02dxtuQ0CZ3,https://api.spotify.com/v1/tracks/405SQUJdQut02dxtuQ0CZ3,https://api.spotify.com/v1/audio-analysis/405SQUJdQut02dxtuQ0CZ3,224258,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
Holiday,1Bjy9ZtwMle3uhVgoBgiGN,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.709,0.867,1,-3.258,1,0.0672,0.0406,0.0,0.275,0.877,120.022,audio_features,1Bjy9ZtwMle3uhVgoBgiGN,spotify:track:1Bjy9ZtwMle3uhVgoBgiGN,https://api.spotify.com/v1/tracks/1Bjy9ZtwMle3uhVgoBgiGN,https://api.spotify.com/v1/audio-analysis/1Bjy9ZtwMle3uhVgoBgiGN,199563,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
All Night,1UwERmn5UogyCz6qo21BmA,Girls' Generation,Girls' Generation,Kpop girl group songs that were a cultural reset,0.777,0.807,9,-4.101,0,0.0517,0.0308,2.93e-05,0.228,0.732,129.984,audio_features,1UwERmn5UogyCz6qo21BmA,spotify:track:1UwERmn5UogyCz6qo21BmA,https://api.spotify.com/v1/tracks/1UwERmn5UogyCz6qo21BmA,https://api.spotify.com/v1/audio-analysis/1UwERmn5UogyCz6qo21BmA,222894,4,0Sadg1vgvaPqGTOjxu0N6c,1972055.0,"['k-pop', 'k-pop girl group']",64.0
