Track Name,Track ID,Artist,Track popularity,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist ID,Artist Followers,Artist genres,Artist popularity,Preference,Type,anime,anime latino,anime lo-fi,anime rock,anime score,art rock,canterbury scene,chill r&b,chinese idol pop,classic j-pop,classic k-pop,complextro,dance pop,edm,idol rock,j-acoustic,j-idol,j-metal,j-pixie,j-pop,j-pop girl group,j-poprock,j-rock,japanese alternative rock,japanese celtic,japanese classical,japanese emo,japanese indie rock,japanese math rock,japanese metalcore,japanese pop punk,japanese post-hardcore,japanese power metal,japanese prog,japanese r&b,japanese singer-songwriter,japanese soul,japanese soundtrack,japanese teen pop,jazz fusion,k-indie,k-pop,k-pop boy group,k-pop girl group,k-rap,k-rock,korean city pop,korean electropop,korean mask singer,korean old school hip hop,korean ost,korean pop,korean r&b,korean singer-songwriter,korean superband,korean trap,neo classical metal,okinawan pop,oshare kei,otacore,power metal,progressive electro house,scorecore,shonen,symphonic rock,touken ranbu,trancecore,visual kei,vocaloid
Hobgoblin,2JTjDYA0vfx8sp5XMTbeqU,CLC,0.0,Kpop 2015-2021,0.621,0.873,11,-2.888,0,0.103,0.0194,0.0,0.488,0.401,169.91,audio_features,2JTjDYA0vfx8sp5XMTbeqU,spotify:track:2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/tracks/2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/audio-analysis/2JTjDYA0vfx8sp5XMTbeqU,210478,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELICOPTER,2hJS7BdEaH9Jo8MeJujsHT,CLC,66.0,Kpop-myselection,0.621,0.873,11,-2.888,0,0.103,0.0194,0.0,0.488,0.401,169.91,audio_features,2JTjDYA0vfx8sp5XMTbeqU,spotify:track:2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/tracks/2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/audio-analysis/2JTjDYA0vfx8sp5XMTbeqU,210478,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Mine,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liar,67D8AmrRyahBZNKzPBBsJG,CLC,0.0,Kpop 2015-2021,0.735,0.829,6,-3.51,0,0.0575,0.131,0.0,0.0949,0.631,94.015,audio_features,67D8AmrRyahBZNKzPBBsJG,spotify:track:67D8AmrRyahBZNKzPBBsJG,https://api.spotify.com/v1/tracks/67D8AmrRyahBZNKzPBBsJG,https://api.spotify.com/v1/audio-analysis/67D8AmrRyahBZNKzPBBsJG,197532,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLACK DRESS,4g73tmQQc6pSfe4NMXKrZD,CLC,56.0,Kpop-myselection,0.735,0.87,1,-1.955,1,0.0385,0.0355,0.0,0.145,0.194,102.033,audio_features,7DWkKAq8wWZk6WMu6tdqe2,spotify:track:7DWkKAq8wWZk6WMu6tdqe2,https://api.spotify.com/v1/tracks/7DWkKAq8wWZk6WMu6tdqe2,https://api.spotify.com/v1/audio-analysis/7DWkKAq8wWZk6WMu6tdqe2,187382,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Mine,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil,3aG0gbuvZ1VeVm68d4J6Yq,CLC,58.0,Kpop-myselection,0.715,0.76,2,-3.353,0,0.0557,0.218,0.0,0.103,0.495,135.04,audio_features,3C0bt8wqscqmNTtwUuOzDZ,spotify:track:3C0bt8wqscqmNTtwUuOzDZ,https://api.spotify.com/v1/tracks/3C0bt8wqscqmNTtwUuOzDZ,https://api.spotify.com/v1/audio-analysis/3C0bt8wqscqmNTtwUuOzDZ,206351,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Mine,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobgoblin,2pSOUHBQXkN3fS2TAJHhfR,CLC,57.0,Kpop-myselection,0.587,0.874,9,-2.461,0,0.0613,0.16,0.0,0.15,0.752,150.037,audio_features,6lHmnk1sUIPS9EI836eObc,spotify:track:6lHmnk1sUIPS9EI836eObc,https://api.spotify.com/v1/tracks/6lHmnk1sUIPS9EI836eObc,https://api.spotify.com/v1/audio-analysis/6lHmnk1sUIPS9EI836eObc,196509,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Mine,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,7w3mCZJZbfXzNebD5vktMI,CLC,56.0,Kpop-myselection,0.604,0.729,6,-3.481,0,0.114,0.148,0.0,0.0594,0.584,77.565,audio_features,4UJbMQumRGohBYYz9WpQcT,spotify:track:4UJbMQumRGohBYYz9WpQcT,https://api.spotify.com/v1/tracks/4UJbMQumRGohBYYz9WpQcT,https://api.spotify.com/v1/audio-analysis/4UJbMQumRGohBYYz9WpQcT,202268,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Mine,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pepe,2rO1OMbLrfKIkqrqcATv3u,CLC,44.0,Kpop-iconic,0.744,0.852,8,-2.79,0,0.0365,0.11,0.0,0.0634,0.812,123.938,audio_features,2Gq8bwrWXzc1gW9g2EnHTh,spotify:track:2Gq8bwrWXzc1gW9g2EnHTh,https://api.spotify.com/v1/tracks/2Gq8bwrWXzc1gW9g2EnHTh,https://api.spotify.com/v1/audio-analysis/2Gq8bwrWXzc1gW9g2EnHTh,224948,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLACK DRESS,4g73tmQQc6pSfe4NMXKrZD,CLC,56.0,Kpop 2015-2021,0.728,0.821,0,-3.129,1,0.0419,0.0307,0.0,0.0386,0.816,108.001,audio_features,4g73tmQQc6pSfe4NMXKrZD,spotify:track:4g73tmQQc6pSfe4NMXKrZD,https://api.spotify.com/v1/tracks/4g73tmQQc6pSfe4NMXKrZD,https://api.spotify.com/v1/audio-analysis/4g73tmQQc6pSfe4NMXKrZD,193609,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobgoblin,2pSOUHBQXkN3fS2TAJHhfR,CLC,57.0,Kpop-iconic,0.717,0.911,4,-1.077,0,0.0344,0.395,0.000457,0.137,0.444,132.011,audio_features,4g7hiqTP5eXt75XU5WSMMA,spotify:track:4g7hiqTP5eXt75XU5WSMMA,https://api.spotify.com/v1/tracks/4g7hiqTP5eXt75XU5WSMMA,https://api.spotify.com/v1/audio-analysis/4g7hiqTP5eXt75XU5WSMMA,207824,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
